edge_id,from_node,to_node,from_x,from_y,to_x,to_y,shape
314406449#1,3204483884,3204482599,9135.65,3632.01,9217.19,3817.29,"9135.65,3632.01 9216.46,3815.62 9217.19,3817.29"
314531545#0,cluster_312706568_3205805738,1083544555,6276.4,5785.65,6290.24,5844.37,"6276.40,5785.65 6290.24,5844.37"
314531545#1,1083544555,1083544557,6293.21,5858.31,6408.27,5851.48,"6293.21,5858.31 6300.23,5894.73 6304.00,5903.79 6304.90,5916.19 6328.22,5917.13 6348.45,5896.53 6408.27,5851.48"
314531554#0,3205802636,1086229015,4966.36,6642.84,5097.32,6654.73,"4966.36,6642.84 5058.20,6657.41 5097.32,6654.73"
314531554#1,1086229015,1086228806,5111.75,6653.64,5143.96,6650.95,"5111.75,6653.64 5143.96,6650.95"
314531554#2,1086228806,1086228810,5158.03,6650.26,5182.76,6649.95,"5158.03,6650.26 5182.76,6649.95"
314531554#3,1086228810,1086229010,5197.52,6649.2,5273.1,6637.17,"5197.52,6649.20 5244.36,6644.90 5273.10,6637.17"
314531554#4,1086229010,3206086339,5287.47,6632.03,5506.01,6479.31,"5287.47,6632.03 5327.03,6614.87 5358.27,6589.09 5384.78,6567.69 5427.75,6528.41 5478.35,6491.38 5506.01,6479.31"
314531554#5,3206086339,3206090576,5542.47,6470.12,5620.23,6461.36,"5542.47,6470.12 5620.23,6461.36"
314531554#6,3206090576,3205805705,5634.55,6459.74,5684.61,6454.11,"5634.55,6459.74 5684.61,6454.11"
314531558#0,3205805744,9169836274,6205.26,5594.28,6211.39,5641.5,"6205.26,5594.28 6211.39,5641.50"
314531558#1,9169836274,3205805742,6213.25,5655.79,6225.82,5771.87,"6213.25,5655.79 6222.11,5723.96 6225.07,5767.96 6225.82,5771.87"
314561758#0,3206050043,3752450302,5445.95,6152.64,5426.37,6154.94,"5445.95,6152.64 5426.37,6154.94"
314561758#1,3752450302,3206050042,5412.03,6156.63,5399.24,6158.13,"5412.03,6156.63 5399.24,6158.13"
314561758#2,3206050042,3206050027,5384.77,6159.83,5296.84,6170.15,"5384.77,6159.83 5296.84,6170.15"
314561758#3,3206050027,cluster_3206050035_3206050046,5290.77,6165.16,5289.74,6152.08,"5290.77,6165.16 5289.74,6152.08"
314561758#5,cluster_3206050035_3206050046,3206050044,5287.69,6126.03,5287.33,6121.55,"5287.69,6126.03 5287.33,6121.55"
314561758#6,3206050044,3206050028,5286.2,6107.18,5286.15,6106.49,"5286.20,6107.18 5286.15,6106.49"
314561758#7,3206050028,3206050048,5285.02,6092.13,5284.47,6085.07,"5285.02,6092.13 5284.47,6085.07"
314561758#8,3206050048,3206050036,5283.34,6070.7,5283.32,6070.53,"5283.34,6070.70 5283.32,6070.53"
314561758#9,3206050036,3206050049,5281.8,6056.39,5278.43,6032.01,"5281.80,6056.39 5278.43,6032.01"
314561759,3206050044,3206050038,5277.63,6113.72,5152.91,6130.67,"5277.63,6113.72 5152.91,6130.67"
314561760,cluster_3206050035_3206050046,cluster_3206050030_3206050031,5294.01,6134.32,5382.88,6126.39,"5294.01,6134.32 5382.88,6126.39"
314561761#0,312709076,9634857074,5302.74,6270.5,5300.56,6251.71,"5302.74,6270.50 5300.56,6251.71"
314561761#1,9634857074,9634857075,5298.9,6237.4,5295.2,6205.57,"5298.90,6237.40 5295.20,6205.57"
314561761#2,9634857075,3206050027,5293.53,6191.26,5292.2,6179.84,"5293.53,6191.26 5292.20,6179.84"
314561762,3206050028,3206050045,5291.3,6100.48,5380.28,6093.67,"5291.30,6100.48 5380.28,6093.67"
314561763#0,3206050042,cluster_3206050030_3206050031,5393.26,6153.1,5392.02,6131.35,"5393.26,6153.10 5392.02,6131.35"
314561763#2,cluster_3206050030_3206050031,cluster_2122505495_3206050041,5397.58,6117.16,5438.1,6113.1,"5397.58,6117.16 5438.10,6113.10"
314561764,cluster_3206050035_3206050046,3206050034,5279.95,6144.34,5155.4,6163.78,"5279.95,6144.34 5155.40,6163.78"
314561765#0,cluster_3206050030_3206050031,3206050045,5391.06,6109.0,5389.81,6098.36,"5391.06,6109.00 5389.81,6098.36"
314561765#1,3206050045,3206050040,5388.3,6084.15,5386.17,6061.42,"5388.30,6084.15 5386.17,6061.42"
314561765#2,3206050040,3206050037,5384.82,6047.08,5381.72,6014.25,"5384.82,6047.08 5381.72,6014.25"
314561767,3206050048,3206050039,5274.71,6077.29,5150.31,6095.66,"5274.71,6077.29 5150.31,6095.66"
314561768,3206050036,3206050040,5288.41,6064.51,5376.85,6056.65,"5288.41,6064.51 5376.85,6056.65"
314561769#0,3206050027,12090044617,5282.1,6172.51,5180.35,6193.14,"5282.10,6172.51 5180.35,6193.14"
314561769#1,12090044617,3206050032,5166.22,6196.01,5157.99,6197.68,"5166.22,6196.01 5157.99,6197.68"
314561824#0,3206052486,9634857073,5404.04,6243.71,5402.85,6234.16,"5404.04,6243.71 5402.85,6234.16"
314561824#1,9634857073,9634857076,5401.07,6219.86,5398.4,6198.41,"5401.07,6219.86 5398.40,6198.41"
314561824#2,9634857076,3206050042,5396.62,6184.11,5394.56,6167.55,"5396.62,6184.11 5394.56,6167.55"
